accuracy,unfairness,accuracy_test,unfairness_test,epsilon,strategy
0.5800773803081658,0.01195478662139548,0.5664724767754525,0.049718592325175615,0.975,BFS original
0.579603323087062,0.009957099175188291,0.5714013867280592,0.03888292632350295,0.976,BFS original
0.5809309103267513,0.008506453692183164,0.575192496200437,0.03882224069423098,0.977,BFS original
0.5792713785129049,0.007560979608818486,0.5738680000359722,0.044644882521237536,0.978,BFS original
0.5787498043071201,0.006720163316311251,0.5753845877136973,0.041737234513289485,0.9790000000000001,BFS original
0.5778015774784777,0.008364673545311336,0.5717798142036206,0.03649725037254945,0.98,BFS original
0.5780388140039342,0.007101392265939505,0.5717808933694254,0.0369276453528286,0.981,BFS original
0.579081602778912,0.006994417531555107,0.56874879717978,0.037311963987482336,0.982,BFS original
0.578180814264446,0.004948173501593586,0.5678016493250718,0.028401402656518093,0.983,BFS original
0.5765212599733127,0.0053532494130464825,0.5674225024056405,0.03389166852249774,0.9840000000000001,BFS original
0.5763790461785746,0.005585400802311522,0.5732989199348903,0.03377590047328893,0.985,BFS original
0.5764738778523537,0.0042342516282184075,0.5717823322571652,0.04174593163319307,0.986,BFS original
0.5732502752624756,0.004582154955143067,0.5700758113977895,0.04184595282926376,0.987,BFS original
0.5742934236740452,0.004184849750802596,0.5702653848575052,0.04016492591268074,0.988,BFS original
0.5751468637834826,0.004452483661080239,0.5645726053760443,0.03192987610757893,0.9890000000000001,BFS original
0.5760476073433746,0.0036835156960550674,0.5668501848071441,0.041469637632035004,0.99,BFS original
0.5760003938020679,0.0035465316631520783,0.5679860068167306,0.03587975297216004,0.991,BFS original
0.5756684829438412,0.002845049446904968,0.5666589925987212,0.03834158154156729,0.992,BFS original
0.5753365720856146,0.0022886966979963623,0.5681755802764463,0.03058482989044602,0.993,BFS original
0.5762372032590717,0.0017250349576042351,0.5679849276509259,0.03525094439907277,0.9940000000000001,BFS original
0.5733448372088109,0.0017541547380835966,0.5628664442386035,0.040363480953209054,0.995,BFS original
0.5707369661798873,0.0013447032230524598,0.5583166812054282,0.039141544982638714,0.996,BFS original
0.5707369661798873,0.0010119310229020108,0.5602124158025846,0.03323271101349157,0.997,BFS original
0.5665649007498536,0.0007390234454433375,0.5657159815462647,0.039221134677362976,0.998,BFS original
0.5555184605396055,0.000307700119908829,0.5480743185517595,0.039850885861536116,0.9990000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,1.0,BFS original
0.6647072653671873,0.1595568621046622,0.6620482566975728,0.16098828414909194,0.0,Curious
0.6647072653671873,0.1595568621046622,0.6620482566975728,0.16098828414909194,0.1,Curious
0.6647072653671873,0.1595568621046622,0.6620482566975728,0.16098828414909194,0.3,Curious
0.6647072653671873,0.1595568621046622,0.6620482566975728,0.16098828414909194,0.4,Curious
0.6647072653671873,0.1595568621046622,0.6620482566975728,0.16098828414909194,0.5,Curious
0.6647072653671873,0.1595568621046622,0.6620482566975728,0.16098828414909194,0.6,Curious
0.6604400872972871,0.14699173062487786,0.6542708886031098,0.15190657722462453,0.7,Curious
0.6240275229883643,0.0972100041184602,0.6129336223099544,0.11943625883127786,0.8,Curious
0.6016496642848609,0.048458686185165634,0.5992756998839897,0.0538113577653208,0.9,Curious
0.5884692866417147,0.022389549380857014,0.5803127782224339,0.047159318933144886,0.95,Curious
0.5879951395114629,0.02192851132161041,0.5812610052429472,0.04866227395492734,0.951,Curious
0.5880425553483525,0.02184674517279601,0.5812610052429472,0.04866227395492734,0.9520000000000001,Curious
0.5880899262306679,0.021619846521387168,0.5799334514420353,0.05217810155027132,0.953,Curious
0.5879950720796019,0.020801458516004432,0.5738674604530698,0.05024696832789535,0.9540000000000001,Curious
0.5877106444901259,0.020675766422467143,0.5731084471703374,0.0509934065127029,0.955,Curious
0.588042476677848,0.020637452391977628,0.5721596805669218,0.049597750397720415,0.956,Curious
0.5876158240549902,0.020095285076372503,0.5746264737358022,0.04493527194144545,0.9570000000000001,Curious
0.5873788347796907,0.018755603859893152,0.576329577236796,0.051816263035998365,0.958,Curious
0.587331418942801,0.018641158632548532,0.5768982976159429,0.052739404928625874,0.9590000000000001,Curious
0.587331418942801,0.018104569147742496,0.5776565914548054,0.05260028305251378,0.96,Curious
0.587331418942801,0.018000668105454344,0.5772770848134392,0.052373868204297326,0.961,Curious
0.5867151591656027,0.01787298322938055,0.5789848646995872,0.0477312842026695,0.9620000000000001,Curious
0.5867151591656027,0.016950692057284774,0.5787951113789039,0.05034850215737659,0.963,Curious
0.586478079981155,0.016332612607025197,0.5784159644594727,0.05063718783067765,0.9640000000000001,Curious
0.586478079981155,0.016332612607025197,0.5784159644594727,0.05063718783067765,0.965,Curious
0.5862410007967075,0.01602373908151006,0.5776573108986753,0.05104571921360177,0.966,Curious
