accuracy,unfairness,accuracy_test,unfairness_test,epsilon,strategy
0.5787028829705443,0.01659676553374757,0.5696952255906185,0.035055890469281384,0.981,BFS original
0.5775650040329873,0.01613848048040923,0.5681766594422512,0.02860252850429596,0.982,BFS original
0.5774226890904577,0.015466514803562915,0.5640065829114095,0.03359308175780329,0.983,BFS original
0.5768063056881809,0.014894232848698454,0.5632473897677096,0.03293370175892665,0.9840000000000001,BFS original
0.5771379243416768,0.013485653273337722,0.5585082331357861,0.0409259484857063,0.985,BFS original
0.5762372369750023,0.01186033596551057,0.5605955196633003,0.041500431546065066,0.986,BFS original
0.5754313812821067,0.010701537626948138,0.5660962076315008,0.033642630973536786,0.987,BFS original
0.5748150203571168,0.010783800085367471,0.5672298713094778,0.03578894007505416,0.988,BFS original
0.5747677281453057,0.009581326768559072,0.5666618703742008,0.028998289968578738,0.9890000000000001,BFS original
0.5746254019641328,0.008371017785387213,0.5698871372429112,0.03293888531386828,0.99,BFS original
0.5743883564956157,0.007497751757565756,0.5698865976600088,0.031062005131903343,0.991,BFS original
0.571875317140471,0.006445362212392969,0.5687491569017149,0.028174963390143207,0.992,BFS original
0.5720650366812465,0.006297268945550455,0.567044794373949,0.02988091136305116,0.993,BFS original
0.5719226318295692,0.00518567489379239,0.5681802566616005,0.03194194898833833,0.9940000000000001,BFS original
0.5714960691158593,0.003911886915079909,0.5628707609018229,0.025267739832279732,0.995,BFS original
0.5704055161060438,0.002597609715414761,0.5638186282004012,0.02591721151040369,0.996,BFS original
0.5706901572297463,0.002024645273913389,0.5632481092115794,0.03141828683382586,0.997,BFS original
0.5698841217185551,0.0011973879524338868,0.5649539106270852,0.02762237753707171,0.998,BFS original
0.5679877804477048,0.00042074787529411964,0.5577458024946716,0.02350835416651643,0.9990000000000001,BFS original
0.5291101995072754,0.0,0.5291047420344074,0.0,1.0,BFS original
0.6647072653671873,0.1954775809022656,0.6620482566975728,0.19558783948813813,0.0,Curious
0.6647072653671873,0.1954775809022656,0.6620482566975728,0.19558783948813813,0.1,Curious
0.6647072653671873,0.1954775809022656,0.6620482566975728,0.19558783948813813,0.3,Curious
0.6647072653671873,0.1954775809022656,0.6620482566975728,0.19558783948813813,0.4,Curious
0.6647072653671873,0.1954775809022656,0.6620482566975728,0.19558783948813813,0.5,Curious
0.6647072653671873,0.1954775809022656,0.6620482566975728,0.19558783948813813,0.6,Curious
0.6647072653671873,0.1954775809022656,0.6620482566975728,0.19558783948813813,0.7,Curious
0.6629054635653854,0.1913805744946069,0.6593942282615537,0.2000328542505756,0.8,Curious
0.6089986806956406,0.09580983570983792,0.5941595546642445,0.1004676431050735,0.9,Curious
0.5949173234810889,0.04873994059811705,0.5791785749615547,0.06603841536942652,0.95,Curious
0.5948224468527359,0.04791033531846113,0.5824015036376881,0.06918375112567939,0.951,Curious
0.5933525559091608,0.0473433194803277,0.5829702240168351,0.06428155167732437,0.9520000000000001,Curious
0.5932577579513122,0.045855189925632665,0.5850549924908046,0.06684042395325847,0.953,Curious
0.5926888128632118,0.045047868459074485,0.5823982661402736,0.06308037707680658,0.9540000000000001,Curious
0.5908874606071496,0.04354807631244989,0.5822090524024929,0.0635334119583703,0.955,Curious
0.5904607517910746,0.04255364717786301,0.5820189393598748,0.0708002911094229,0.956,Curious
0.5900814250959583,0.03948371411222555,0.5808814986015811,0.06471319626992388,0.9570000000000001,Curious
0.5900340204977124,0.03927335884970592,0.5812610052429472,0.06633615169639237,0.958,Curious
0.5895124462919276,0.038968459377047404,0.5791747978812378,0.064627448889011,0.9590000000000001,Curious
0.5880899824238854,0.037784217481327945,0.5805025315431172,0.0600871602338308,0.96,Curious
0.5881848702908821,0.03668210655030153,0.5795534052177667,0.05609876307162175,0.961,Curious
0.5873788684956209,0.03587342043490453,0.5786057177801559,0.054391599443775016,0.9620000000000001,Curious
0.5878055885503397,0.035414887939045736,0.5770884106585611,0.04874723571962705,0.963,Curious
0.587378913450195,0.034002678301632804,0.5734866947849312,0.04574913877092389,0.9640000000000001,Curious
0.5869523170205546,0.033141845018942094,0.5753845877136974,0.04404996119703534,0.965,Curious
0.5872367446100308,0.032979528466868184,0.574815327751648,0.04392745553780651,0.966,Curious
0.5855773701371936,0.03185365357598223,0.5727278613631663,0.046637081374178165,0.9670000000000001,Curious
0.5853403021913894,0.030820447000227,0.5755712833979334,0.052847546448781736,0.968,Curious
0.5840602656523117,0.02973747088202095,0.5731055693948578,0.048615638472328436,0.9690000000000001,Curious
0.5828274538931841,0.028764732834154167,0.5685552667787801,0.04345263420718597,0.97,Curious
0.5829697014038526,0.026869041768308854,0.5712092952147989,0.03703110369955419,0.971,Curious
0.5828748697300737,0.02660666509485348,0.5708301482953677,0.03720664058097343,0.972,Curious
0.5821162837717022,0.026126778219391973,0.5706403949746846,0.03682757603656904,0.973,Curious
0.5813578776316267,0.025405515964167614,0.571208575770929,0.0378758373577622,0.9740000000000001,Curious
0.5803621900115207,0.024261763854365997,0.5679845679289909,0.038804348268236144,0.975,Curious
0.5794139744215216,0.02357225877049249,0.5696921679541714,0.048587201770821146,0.976,Curious
0.5788448495151256,0.022068268899877112,0.5687426819068859,0.04289545340154265,0.977,Curious
0.5779915555080535,0.02105235419262552,0.5708281698247255,0.04016329683786248,0.978,Curious
0.5773277337916003,0.020558540550150408,0.5672259143681935,0.04110992342443809,0.9790000000000001,Curious
0.575952899294674,0.019243364824771254,0.5681743212496742,0.03767438998266228,0.98,Curious
0.574862335046215,0.01775176175021243,0.5655202928136551,0.038927744691011464,0.981,Curious
0.5742934798672628,0.016177953074441326,0.5666588127377536,0.03016545296193915,0.982,Curious
0.5738194676007329,0.01558958928971909,0.5683655134580968,0.026002662433449685,0.983,Curious
0.5732030617211692,0.014772396812769062,0.5691238072969594,0.02606833794821704,0.9840000000000001,Curious
0.5729185217452579,0.013728268867579385,0.5657114850220779,0.02494134483995616,0.985,Curious
0.5714961477863637,0.012539616221464494,0.56096837144887,0.04072110895215667,0.986,Curious
0.57050062874591,0.011924882165776116,0.5607793375720569,0.03814416347758176,0.987,Curious
0.5700264703770149,0.011177687584575356,0.5596418968137629,0.03901780718044835,0.988,Curious
0.5688412093184987,0.010344763929578648,0.5590708382420388,0.028546221550080558,0.9890000000000001,Curious
0.5670869132627344,0.008137087675414535,0.5609708895024147,0.031791017468835364,0.99,Curious
0.566138686434092,0.008017956396417706,0.5615392501596267,0.036005250487657715,0.991,Curious
0.5650957290794618,0.006707842337476855,0.5579362752592246,0.03085789863123705,0.992,Curious
0.5650008524511089,0.005646894672013814,0.5579362752592246,0.03133969134832388,0.993,Curious
0.5650482120947811,0.004733366104824355,0.5562302939827514,0.02946789019168245,0.9940000000000001,Curious
