accuracy_train,unfairness_train,accuracy,unfairness,epsilon,strategy
0.5291101995072754,0.0,0.5291047420344074,0.0,0.953,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9540000000000001,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.955,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.956,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9570000000000001,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.958,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9590000000000001,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.96,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.961,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.9620000000000001,Curious
0.5291101995072754,0.0,0.5291047420344074,0.0,0.963,Curious
