accuracy_train,unfairness_train,accuracy,unfairness,epsilon,strategy
0.5832066344859349,0.012680668625203778,0.5789886417799041,0.04024692733490071,0.972,BFS original
0.5828273976999666,0.012531905689755185,0.5729186938496542,0.04276004217858985,0.973,BFS original
0.5800773803081659,0.011272916736165322,0.5714013867280592,0.04017167021517984,0.9740000000000001,BFS original
0.5803144594926135,0.0117294001134612,0.5717805336474904,0.04462299423044568,0.975,BFS original
0.5798878181083993,0.010711134163085268,0.5717805336474904,0.04301245874066412,0.976,BFS original
0.5809309103267513,0.008506453692183164,0.575192496200437,0.03882224069423098,0.977,BFS original
0.5795558735342421,0.007382659148252768,0.5759533080928442,0.038915389592897816,0.978,BFS original
0.5787498043071201,0.006720163316311251,0.5753845877136973,0.041737234513289485,0.9790000000000001,BFS original
0.5778015774784777,0.008364673545311336,0.5717798142036206,0.03649725037254945,0.98,BFS original
0.5780388140039342,0.007101392265939505,0.5717808933694254,0.0369276453528286,0.981,BFS original
0.579081602778912,0.006994417531555107,0.56874879717978,0.037311963987482336,0.982,BFS original
0.5786549726333412,0.004928607987228167,0.5696973839222281,0.033424602008300094,0.983,BFS original
0.578180814264446,0.004948173501593586,0.5678016493250718,0.028401402656518093,0.9840000000000001,BFS original
0.5783230954910451,0.005118867145848538,0.5748155076126155,0.027285208853770872,0.985,BFS original
0.5775644421008126,0.00435324436462913,0.5725406260960278,0.030767186554849574,0.986,BFS original
0.5775170262639231,0.003747297288354504,0.5704553180391556,0.035343441582122825,0.987,BFS original
0.5796507389239516,0.003828267369945379,0.573488493394606,0.034983345700199515,0.988,BFS original
0.5768536765704965,0.0039302917833973295,0.5664710378877128,0.029664877918424717,0.9890000000000001,BFS original
0.5760476073433746,0.0036835156960550674,0.5668501848071441,0.041469637632035004,0.99,BFS original
0.5760003938020679,0.0035465316631520783,0.5679860068167306,0.03587975297216004,0.991,BFS original
0.5756684829438412,0.002845049446904968,0.5666589925987212,0.03834158154156729,0.992,BFS original
0.5753365720856146,0.0022886966979963623,0.5681755802764463,0.03058482989044602,0.993,BFS original
0.5771855199968622,0.0017047059443734494,0.5681745011106415,0.0393745540809222,0.9940000000000001,BFS original
0.5733448372088109,0.0017541547380835966,0.5628664442386035,0.040363480953209054,0.995,BFS original
